,cntSender,cntRecipient
Pete Davis,15440.0,853.0
Jeff Dasovich,11607.0,2249.0
Chris Germany,8622.0,1591.0
Sara Shackleton,7901.0,5217.0
James Steffes,5234.0,2799.0
Vince Kaminski,4403.0,3046.0
Gerald Nemec,4372.0,3301.0
Notes,4166.0,1023.0
Matthew Lenhart,3845.0,448.0
Michelle Cash,3689.0,1119.0
Debra Perlingiere,3683.0,469.0
Mark Taylor,3616.0,3474.0
Louise Kitchen,3396.0,3946.0
Blank,3214.0,0.0
Richard Sanders,2987.0,1807.0
Sally Beck,2956.0,3550.0
Kate Symes,2946.0,1447.0
Phillip Love,2819.0,785.0
Drew Fossum,2614.0,358.0
Schedule,2542.0,0.0
Carol St Clair,2532.0,659.0
Lynn Blair,2476.0,843.0
Announcements,2325.0,5.0
Elizabeth Sager,2324.0,1413.0
Kevin Presto,2223.0,1051.0
John Arnold,2154.0,1166.0
Outlook,1926.0,26.0
Darron Giron,1923.0,547.0
Kim Ward,1682.0,1154.0
David Delainey,1658.0,424.0
Marie Heard,1607.0,679.0
Tracy Geaccone,1584.0,758.0
Bill Williams,1528.0,5512.0
Chris Dorland,1517.0,202.0
Mark Haedicke,1511.0,1249.0
Benjamin Rogers,1509.0,1187.0
Susan Mara,1469.0,1209.0
Kimberly Watson,1457.0,928.0
Mary Hain,1443.0,424.0
Mike Grigsby,1417.0,760.0
Daren Farmer,1390.0,3382.0
Jeffrey Shankman,1378.0,545.0
Larry Campbell,1373.0,991.0
Stacey White,1370.0,1054.0
Mike Maggi,1294.0,977.0
John Lavorato,1265.0,2187.0
Monika Causholli,1261.0,240.0
Rick Buy,1245.0,1450.0
Kam Keiser,1228.0,1419.0
Lorna Brennan,1228.0,23.0
Phillip Allen,1220.0,1250.0
Kevin Hyatt,1219.0,1312.0
Darrell Schoolcraft,1200.0,449.0
Scott Neal,1167.0,757.0
Kay Mann,1166.0,705.0
Cara Semperger,1158.0,478.0
John Forney,1153.0,152.0
Dan Hyvl,1144.0,1031.0
Jones,1138.0,98.0
Chris Stokley,1125.0,507.0
Michelle Lokay,1105.0,1036.0
James Derrick,1073.0,584.0
Shirley Crenshaw,1071.0,867.0
Ricky Alpine,1061.0,0.0
Sheila Glover,1047.0,341.0
Mary Cook,1031.0,651.0
Barry Tycholiz,1025.0,804.0
Joe Parks,1020.0,1030.0
Robin Rodrigue,1011.0,152.0
Lindy Donoho,984.0,787.0
Mark Whitt,970.0,868.0
Errol Mclaughlin,928.0,635.0
Susan Bailey,922.0,1122.0
Christi Nicolay,905.0,687.0
Stephanie Panus,886.0,643.0
Dutch Quigley,855.0,672.0
Jim White,844.0,8.0
Richard Shapiro,835.0,3012.0
Ami Chokshi,829.0,116.0
Shona Wilson,828.0,327.0
Tana Jones,821.0,922.0
Ginger Dernehl,802.0,201.0
Michelle Nelson,793.0,540.0
Jane Tholt,789.0,343.0
John Zufferli,788.0,226.0
Mark Legal Taylor,779.0,183.0
Andy Zipper,775.0,1094.0
Janette Elbertson,760.0,338.0
Diana Scholtes,739.0,262.0
Jonathan Mckay,737.0,548.0
Kay Chapman,733.0,192.0
Twanda Sweet,728.0,492.0
Judy Hernandez,712.0,235.0
Hunter Shively,700.0,672.0
Shelley Corman,698.0,547.0
David Forster,693.0,669.0
Alan Comnes,680.0,961.0
Victor Lamadrid,669.0,426.0
John Griffith,649.0,833.0
Veronica Espinoza,644.0,182.0
Alvin Thompson,630.0,229.0
Christina Valdez,606.0,84.0
Robert Cotten,584.0,107.0
Tim Belden,577.0,1262.0
Chris Foster,568.0,260.0
David Portz,564.0,298.0
Jeffrey Gossett,555.0,674.0
Kinney,542.0,227.0
Justin Rostant,540.0,47.0
Kysa Alport,538.0,73.0
Britt Davis,536.0,136.0
Kayne Coulter,517.0,197.0
Thomas Martin,516.0,507.0
Adam Johnson,516.0,171.0
Cheryl Nelson,512.0,699.0
Mike Carson,509.0,296.0
Fletcher Sturm,508.0,277.0
David Oxley,505.0,454.0
Mbxenron,505.0,92.0
Master Amar,505.0,4.0
Taffy Milligan,502.0,234.0
Kristin Walsh,497.0,16.0
Don Miller,494.0,464.0
Cooper Richey,487.0,193.0
Paul Lucci,485.0,383.0
Mark Mcclelland,482.0,456.0
Grace Rodriguez,481.0,75.0
Bob Hall,478.0,514.0
Rob Gay,475.0,16.0
Rosalee Fleming,470.0,184.0
Tori Kuykendall,467.0,202.0
Kenneth Thibodeaux,460.0,19.0
Sarah Novosel,454.0,393.0
Rebecca Cantrell,454.0,105.0
Andrea Ring,452.0,146.0
Audrey Robertson,450.0,254.0
Alan Aronowitz,442.0,872.0
Lamadrid,435.0,17.0
Tamara Black,431.0,293.0
Mary Poorman,431.0,80.0
Nyiso Tech,428.0,6.0
Lisa Gang,427.0,574.0
Linda Robertson,426.0,590.0
Brenda Herod,426.0,205.0
Susan Trevino,424.0,74.0
Mark Guzman,422.0,302.0
Susan Scott,419.0,584.0
Brent Hendry,418.0,668.0
Patti Thompson,416.0,323.0
Karen Denne,414.0,434.0
Yvette Connevey,409.0,77.0
Brian Redmond,408.0,287.0
Pat Radford,405.0,105.0
Mccarty,400.0,111.0
Julie Meyers,393.0,183.0
Becky Spencer,393.0,100.0
Zimin Lu,392.0,179.0
Eric Gillaspie,390.0,371.0
Rod Hayslett,388.0,334.0
Ina Rangel,386.0,331.0
Rhonda Dento,385.0,126.0
Tracy Ngo,384.0,313.0
Ruth Concannon,379.0,246.0
Cheryl Johnson,378.0,15.0
Davis,376.0,132.0
Parellan Riverside,376.0,6.0
Stacy Dickson,375.0,330.0
Dana Davis,370.0,451.0
Colleen Sullivan,364.0,281.0
Kenny Soignet,364.0,57.0
Christopher Calger,363.0,552.0
Commissioner,360.0,1.0
Paul Ybarbo,359.0,62.0
Lexi Elliott,358.0,51.0
Charles Yeung,354.0,77.0
Steve Hall,352.0,150.0
Martin Cuilla,348.0,233.0
Peter Keohane,347.0,274.0
Shonnie Daniel,347.0,228.0
Carla Hoffman,345.0,78.0
Dowjonesenergy,343.0,31.0
Leonardo Pacheco,342.0,35.0
Steven Harris,341.0,1479.0
Theresa Staab,339.0,517.0
Scott Bolton,333.0,102.0
Ray Alvarez,332.0,181.0
Jeffrey Fawcett,331.0,409.0
