Date,S02,S03,S04,S05,S06,S07,S08,S10,Pr2,Pr3,Holiday,FullPrice,PercentageDiscount,WeeklyUnitsSold
2010-02-05,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,245
2010-02-12,0,0,0,0,0,0,0,0,0,0,True,9.99,20.020020020020024,453
2010-02-19,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,409
2010-02-26,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,191
2010-03-05,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,145
2010-03-12,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,140
2010-03-19,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,147
2010-03-26,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,175
2010-04-02,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,382
2010-04-09,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,287
2010-04-16,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,117
2010-04-23,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,107
2010-04-30,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,111
2010-05-07,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,171
2010-05-14,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,186
2010-05-21,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,145
2010-05-28,0,0,0,0,0,0,0,0,0,0,False,9.99,20.020020020020024,153
2010-06-04,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,117
2010-06-11,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,111
2010-06-18,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,108
2010-06-25,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,109
2010-07-02,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,109
2010-07-09,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,118
2010-07-16,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,115
2010-07-23,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,103
2010-07-30,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,103
2010-08-06,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,117
2010-08-13,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,103
2010-08-20,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,105
2010-08-27,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,105
2010-09-03,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,108
2010-09-10,0,0,0,0,0,0,0,0,0,0,True,9.99,0.0,121
2010-09-17,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,129
2010-09-24,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,121
2010-10-01,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,134
2010-10-08,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,156
2010-10-15,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,180
2010-10-22,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,170
2010-10-29,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,257
2010-11-05,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,228
2010-11-12,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,130
2010-11-19,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,131
2010-11-26,0,0,0,0,0,0,0,0,0,0,True,9.99,0.0,125
2010-12-03,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,150
2010-12-10,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,210
2010-12-17,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,299
2010-12-24,0,0,0,0,0,0,0,0,0,0,False,9.99,0.0,373
2010-12-31,0,0,0,0,0,0,0,0,0,0,True,9.99,0.0,127
2011-01-07,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,93
2011-01-14,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,100
2011-01-21,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,100
2011-01-28,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,107
2011-02-04,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,185
2011-02-11,0,0,0,0,0,0,0,0,0,0,True,10.99,20.018198362147423,323
2011-02-18,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,399
2011-02-25,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,165
