Stock,Date,Open,High,Low,Close,Volume
TSLA,4/1/2020,504,513.950012,475.100006,481.559998,13353200
TSLA,4/2/2020,481.029999,494.26001,446.399994,454.470001,19858400
TSLA,4/3/2020,509.5,515.48999,468.390015,480.01001,22562100
TSLA,4/6/2020,511.200012,521,497.959991,516.23999,14901800
TSLA,4/7/2020,545,565,532.340027,545.450012,17919800
TSLA,4/8/2020,554.200012,557.210022,533.330017,548.840027,12656000
TSLA,4/9/2020,562.090027,575.179993,557.109985,573,13650000
TSLA,4/13/2020,590.159973,652,580.530029,650.950012,22475400
TSLA,4/14/2020,698.969971,741.880005,692.429993,709.890015,30576500
TSLA,4/15/2020,742,753.130005,710,729.830017,23577000
TSLA,4/16/2020,716.940002,759.450012,706.719971,745.210022,20657900
TSLA,4/17/2020,772.280029,774.950012,747.659973,753.890015,13128200
TSLA,4/20/2020,732.700012,765.570007,712.210022,746.359985,14746600
TSLA,4/21/2020,730.119995,753.330017,673.789978,686.719971,20209100
TSLA,4/22/2020,703.97998,734,688.710022,732.109985,14224800
TSLA,4/23/2020,727.599976,734,703.130005,705.630005,13236700
TSLA,4/24/2020,710.809998,730.72998,698.179993,725.150024,13237600
TSLA,4/27/2020,737.609985,799.48999,735,798.75,20681400
TSLA,4/28/2020,795.640015,805,756.690002,769.119995,15222000
TSLA,4/29/2020,790.169983,803.200012,783.159973,800.51001,16216000
TSLA,4/30/2020,855.190002,869.820007,763.5,781.880005,28471900
