NAME,LATITUDE,LONGITUDE,ELEVATION,DATE
"TOWANDA 1 S, PA US",41.7511,-76.443,231.6,4/4/2020
"TOWANDA 1 S, PA US",41.7511,-76.443,231.6,4/5/2020
"HARRISBURG 1 NE, PA US",40.28171,-76.87049,128,4/4/2020
"HARRISBURG 1 NE, PA US",40.28171,-76.87049,128,4/5/2020
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",38.68974,-75.36253,14,4/4/2020
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",38.68974,-75.36253,14,4/5/2020
"PIEDMONT RESEARCH STATION, VA US",38.2323,-78.1202,158.5,4/5/2020
"CASHTOWN 1 S, PA US",39.8815,-77.3506,216.4,4/4/2020
"CASHTOWN 1 S, PA US",39.8815,-77.3506,216.4,4/5/2020
"QUANTICO MCAS, VA US",38.50362,-77.30503,3,4/4/2020
"QUANTICO MCAS, VA US",38.50362,-77.30503,3,4/5/2020
"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3,4/4/2020
"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3,4/5/2020
"MOUNT WEATHER 3, VA US",39.06551,-77.89504,472.4,4/4/2020
"MOUNT WEATHER 3, VA US",39.06551,-77.89504,472.4,4/5/2020
"LANCASTER 2 NE FLTR, PA US",40.0499,-76.2742,82.3,4/4/2020
"LANCASTER 2 NE FLTR, PA US",40.0499,-76.2742,82.3,4/5/2020
"CYLBURN, MD US",39.35302,-76.65397,71.6,4/5/2020
"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,4/4/2020
"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,4/5/2020
"PHILLIPSBURG EASTON BRIDGE, NJ US",40.69555,-75.19994,70.7,4/4/2020
"PHILLIPSBURG EASTON BRIDGE, NJ US",40.69555,-75.19994,70.7,4/5/2020
"PINE GROVE FURNACE, PA US",40.03298,-77.30417,269.7,4/4/2020
"PINE GROVE FURNACE, PA US",40.03298,-77.30417,269.7,4/5/2020
"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,4/4/2020
"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,4/5/2020
"ST INIGOES WEBSTER NAVAL OUTLYING FIELD, MD US",38.14167,-76.42917,6.4,4/4/2020
"ST INIGOES WEBSTER NAVAL OUTLYING FIELD, MD US",38.14167,-76.42917,6.4,4/5/2020
"FRANCIS E WALTER DAM, PA US",41.1184,-75.7277,459.9,4/4/2020
