Location,Date,WindSpeed,Precipitation,SnowFall,SnowDepth,tMax,tMin
"NY CITY CENTRAL PARK, NY US",12/1/2019,9.84,0.62,0,0,39,30
"NY CITY CENTRAL PARK, NY US",12/2/2019,8.5,0.48,1.3,0,37,31
"NY CITY CENTRAL PARK, NY US",12/3/2019,7.16,0.02,0.3,1.2,36,30
"NY CITY CENTRAL PARK, NY US",12/4/2019,5.37,0,0,0,39,32
"NY CITY CENTRAL PARK, NY US",12/5/2019,9.4,0,0,0,42,36
"NY CITY CENTRAL PARK, NY US",12/6/2019,7.38,0,0,0,50,34
"NY CITY CENTRAL PARK, NY US",12/7/2019,6.93,0,0,0,38,30
"NY CITY CENTRAL PARK, NY US",12/8/2019,2.68,0,0,0,46,28
"NY CITY CENTRAL PARK, NY US",12/9/2019,4.47,1.57,0,0,55,42
"NY CITY CENTRAL PARK, NY US",12/10/2019,6.93,0.13,0,0,58,39
"NY CITY CENTRAL PARK, NY US",12/11/2019,6.26,0.26,0.2,0,40,31
"NY CITY CENTRAL PARK, NY US",12/12/2019,4.7,0,0,0,36,26
"NY CITY CENTRAL PARK, NY US",12/13/2019,5.82,0.81,0,0,48,33
"NY CITY CENTRAL PARK, NY US",12/14/2019,6.04,1.16,0,0,56,45
"NY CITY CENTRAL PARK, NY US",12/15/2019,9.62,0,0,0,49,37
"NY CITY CENTRAL PARK, NY US",12/16/2019,3.8,0.1,0,0,37,33
"NY CITY CENTRAL PARK, NY US",12/17/2019,8.72,0.9,0,0,35,32
"NY CITY CENTRAL PARK, NY US",12/18/2019,8.95,0.03,0.7,0,36,21
"NY CITY CENTRAL PARK, NY US",12/19/2019,10.51,0,0,0,25,16
"NY CITY CENTRAL PARK, NY US",12/20/2019,6.04,0,0,0,33,22
"NY CITY CENTRAL PARK, NY US",12/21/2019,2.91,0,0,0,35,23
"NY CITY CENTRAL PARK, NY US",12/22/2019,4.7,0,0,0,46,30
"NY CITY CENTRAL PARK, NY US",12/23/2019,4.7,0,0,0,57,41
"NY CITY CENTRAL PARK, NY US",12/24/2019,5.82,0,0,0,47,36
"NY CITY CENTRAL PARK, NY US",12/25/2019,3.58,0,0,0,47,32
"NY CITY CENTRAL PARK, NY US",12/26/2019,5.82,0,0,0,46,36
"NY CITY CENTRAL PARK, NY US",12/27/2019,4.47,0,0,0,54,46
"NY CITY CENTRAL PARK, NY US",12/28/2019,4.03,0,0,0,51,43
"NY CITY CENTRAL PARK, NY US",12/29/2019,4.92,0.25,0,0,44,39
"NY CITY CENTRAL PARK, NY US",12/30/2019,12.75,0.74,0,0,41,37
"NY CITY CENTRAL PARK, NY US",12/31/2019,5.14,0.02,0,0,45,36
"NY CITY CENTRAL PARK, NY US",1/1/2020,8.5,0,0,0,41,34
"NY CITY CENTRAL PARK, NY US",1/2/2020,5.37,0,0,0,49,33
"NY CITY CENTRAL PARK, NY US",1/3/2020,3.36,0.15,0,0,49,44
"NY CITY CENTRAL PARK, NY US",1/4/2020,4.47,0.27,0,0,51,41
"NY CITY CENTRAL PARK, NY US",1/5/2020,11.41,0,0,0,42,35
"NY CITY CENTRAL PARK, NY US",1/6/2020,6.04,0.04,0.2,0,45,32
"NY CITY CENTRAL PARK, NY US",1/7/2020,5.14,0,0,0,45,36
"NY CITY CENTRAL PARK, NY US",1/8/2020,9.62,0,0,0,42,28
"NY CITY CENTRAL PARK, NY US",1/9/2020,4.47,0,0,0,34,23
"NY CITY CENTRAL PARK, NY US",1/10/2020,6.26,0,0,0,55,33
"NY CITY CENTRAL PARK, NY US",1/11/2020,5.37,0,0,0,69,51
"NY CITY CENTRAL PARK, NY US",1/12/2020,8.72,0.05,0,0,68,43
"NY CITY CENTRAL PARK, NY US",1/13/2020,4.47,0,0,0,46,37
