Location,Date,WindSpeed,Precipitation,tMax,tMin
"NY CITY CENTRAL PARK, NY US",12/9/2019,4.47,1.57,55,42
"NY CITY CENTRAL PARK, NY US",12/10/2019,6.93,0.13,58,39
"NY CITY CENTRAL PARK, NY US",12/11/2019,6.26,0.26,40,31
"NY CITY CENTRAL PARK, NY US",12/12/2019,4.7,0,36,26
"NY CITY CENTRAL PARK, NY US",12/13/2019,5.82,0.81,48,33
"NY CITY CENTRAL PARK, NY US",12/14/2019,6.04,1.16,56,45
"NY CITY CENTRAL PARK, NY US",12/15/2019,9.62,0,49,37
"NY CITY CENTRAL PARK, NY US",12/16/2019,3.8,0.1,37,33
"NY CITY CENTRAL PARK, NY US",12/17/2019,8.72,0.9,35,32
"NY CITY CENTRAL PARK, NY US",12/18/2019,8.95,0.03,36,21
