NAME,DATE,PRCP,TMAX,TMIN
"CAMBRIDGE MIT, MA US",1/1/1932,0,39,30
"CAMBRIDGE MIT, MA US",1/2/1932,0.96,41,28
"CAMBRIDGE MIT, MA US",1/3/1932,0.04,34,29
"CAMBRIDGE MIT, MA US",1/4/1932,0,32,22
"CAMBRIDGE MIT, MA US",1/5/1932,0,34,22
"CAMBRIDGE MIT, MA US",1/6/1932,0.4,55,34
"CAMBRIDGE MIT, MA US",1/7/1932,0,57,38
"CAMBRIDGE MIT, MA US",1/8/1932,0,39,34
"CAMBRIDGE MIT, MA US",1/9/1932,0.35,36,32
"CAMBRIDGE MIT, MA US",1/10/1932,0.5,34,30
"CAMBRIDGE MIT, MA US",1/11/1932,0,27,17
"CAMBRIDGE MIT, MA US",1/12/1932,0,49,23
"CAMBRIDGE MIT, MA US",1/13/1932,0.02,62,49
"CAMBRIDGE MIT, MA US",1/14/1932,0,68,51
"CAMBRIDGE MIT, MA US",1/15/1932,0.01,64,48
"CAMBRIDGE MIT, MA US",1/16/1932,0,48,35
"CAMBRIDGE MIT, MA US",1/17/1932,0.09,39,31
"CAMBRIDGE MIT, MA US",1/18/1932,0.03,53,36
"CAMBRIDGE MIT, MA US",1/19/1932,0,41,32
"CAMBRIDGE MIT, MA US",1/20/1932,0,47,31
"CAMBRIDGE MIT, MA US",1/21/1932,0.08,41,30
"CAMBRIDGE MIT, MA US",1/22/1932,0.2,39,33
"CAMBRIDGE MIT, MA US",1/23/1932,0.34,43,31
"CAMBRIDGE MIT, MA US",1/24/1932,0,46,36
"CAMBRIDGE MIT, MA US",1/25/1932,0,41,33
"CAMBRIDGE MIT, MA US",1/26/1932,0.06,45,29
"CAMBRIDGE MIT, MA US",1/27/1932,0.28,51,35
"CAMBRIDGE MIT, MA US",1/28/1932,0,40,30
"CAMBRIDGE MIT, MA US",1/29/1932,0.04,41,22
"CAMBRIDGE MIT, MA US",1/30/1932,0.06,56,32
"CAMBRIDGE MIT, MA US",1/31/1932,0,32,22
"CAMBRIDGE MIT, MA US",2/1/1932,0,25,15
"CAMBRIDGE MIT, MA US",2/2/1932,0.12,35,18
"CAMBRIDGE MIT, MA US",2/3/1932,0,36,26
"CAMBRIDGE MIT, MA US",2/4/1932,0.45,38,29
"CAMBRIDGE MIT, MA US",2/5/1932,0.24,32,25
"CAMBRIDGE MIT, MA US",2/6/1932,0,42,22
