Futures,Date,Open,High,Low,Close,Volume
S&P 500,3/1/2020,2950,2996,2853.25,2957,5499126
S&P 500,3/2/2020,2900,3093.25,2889.25,2951.100098,3515977
S&P 500,3/3/2020,3077,3137,2973,3065.100098,3617838
S&P 500,3/4/2020,2988.25,3129.5,2976.5,2997.100098,2456513
S&P 500,3/5/2020,3109.25,3113.75,2996.5,3114.699951,2649868
S&P 500,3/6/2020,3024.25,3037,2898,3015.5,2992638
S&P 500,3/8/2020,3024.25,3037,2898,3015.5,3010973
S&P 500,3/9/2020,2916,2916,2715,2964.100098,2490454
S&P 500,3/10/2020,2733,2884.75,2695.25,2747.699951,3273594
S&P 500,3/11/2020,2859.5,2869.5,2702.75,2865.75,2824963
S&P 500,3/12/2020,2738,2774,2442.5,2740.300049,4207725
S&P 500,3/13/2020,2429.5,2707.75,2393.5,2468.899902,3244207
S&P 500,3/15/2020,2429.5,2707.75,2393.5,2468.899902,3295273
S&P 500,3/16/2020,2631.5,2652,2350,2683.899902,3415781
S&P 500,3/17/2020,2498,2554.5,2352,2408,1041038635
S&P 500,3/18/2020,2467.5,2486.25,2262,2485.5,3085714
S&P 500,3/19/2020,2402.5,2460,2275,2401.399902,3022652
S&P 500,3/20/2020,2351,2499,2280,2389,2885909
S&P 500,3/22/2020,2220.25,2229,2174,2203.25,3590572
S&P 500,3/23/2020,2198.25,2384.25,2174.5,2254.75,1042420481
S&P 500,3/24/2020,2281.25,2470,2275.25,2421.5,811587901
S&P 500,3/25/2020,2406,2560.75,2386,2466.25,1008036031
S&P 500,3/26/2020,2454.5,2629,2402.25,2625.75,773148858
S&P 500,3/27/2020,2577.5,2605,2505.25,2520,727579677
S&P 500,3/29/2020,2459,2498.25,2445,2489,6659472
S&P 500,3/30/2020,2513.75,2624.5,2495,2615.25,659157598
S&P 500,3/31/2020,2616.5,2635.75,2536.5,2540.5,642583856
Dow Jones,3/1/2020,0,0,0,25364,0
Dow Jones,3/2/2020,25196,26711,24851,25364,632358
Dow Jones,3/3/2020,26562,27059,25679,26468,603332
Dow Jones,3/4/2020,25809,27075,25688,25880,380234
Dow Jones,3/5/2020,26921,26973,25915,26965,459206
Dow Jones,3/6/2020,26143,26282,25193,26060,578672
Dow Jones,3/8/2020,0,0,0,25789,0
Dow Jones,3/9/2020,25356,25356,23549,25789,334049
Dow Jones,3/10/2020,23727,25020,23424,23877,523135
Dow Jones,3/11/2020,24838,24890,23300,24849,493500
Dow Jones,3/12/2020,23565,23851,20875,23575,464263
Dow Jones,3/13/2020,20678,23022,20230,20944,230212
Dow Jones,3/15/2020,0,0,0,22988,0
Dow Jones,3/16/2020,22705,22708,19975,22839,137995
Dow Jones,3/17/2020,21106,21375,19741,20373,81314866
Dow Jones,3/18/2020,20715,20845,18766,20860,228910
Dow Jones,3/19/2020,19900,20393,18834,19853,239922
Dow Jones,3/20/2020,19583,20882,18825,19875,285733
Dow Jones,3/22/2020,18504,18507,18086,18238,204991
Dow Jones,3/23/2020,18230,19804,18088,18745,119535345
Dow Jones,3/24/2020,18987,20943,18925,20511,106863898
Dow Jones,3/25/2020,20446,21892,20279,21100,130872632
Dow Jones,3/26/2020,20998,22545,20510,22492,123364604
Dow Jones,3/27/2020,22123,22321,21316,21410,98666789
Dow Jones,3/29/2020,20926,21244,20778,21213,711107
Dow Jones,3/30/2020,21350,22250,21153,22196,82143599
Dow Jones,3/31/2020,22204,22386,21470,21502,66006634
Nasdaq,3/1/2020,8347,8574.75,8126.25,8382.75,1513887
Nasdaq,3/2/2020,8349.25,8883.25,8224.25,8454,1338786
Nasdaq,3/3/2020,8830.5,9002.5,8511,8791.25,1277458
Nasdaq,3/4/2020,8557.5,8950,8508.25,8582.5,924629
Nasdaq,3/5/2020,8889,8899.75,8610.75,8896.5,943408
Nasdaq,3/6/2020,8677,8726.5,8310.5,8648.75,1083638
Nasdaq,3/8/2020,8677,8726.5,8310.5,8648.75,1086560
Nasdaq,3/9/2020,8369,8375,7819,8503.25,545428
Nasdaq,3/10/2020,7893.75,8378.75,7814.25,7951.5,967814
Nasdaq,3/11/2020,8317,8334.25,7892.75,8331.5,976682
Nasdaq,3/12/2020,7998.75,8108,7128.5,8003.5,861265
Nasdaq,3/13/2020,7100,7978,6942.5,7215.25,570212
Nasdaq,3/15/2020,7100,7978,6942.5,7215.25,578813
Nasdaq,3/16/2020,7919.75,7920,6906,7900.75,416627
Nasdaq,3/17/2020,7294.25,7551.25,6931.25,7182.75,154561400
Nasdaq,3/18/2020,7343.25,7380,6810,7392.25,502686
Nasdaq,3/19/2020,7234.25,7502.5,6874.25,7205.5,509651
Nasdaq,3/20/2020,7177,7629,6952,7273.5,554317
Nasdaq,3/22/2020,6798,6798,6628.75,6688.75,321230
Nasdaq,3/23/2020,6733.5,7316.25,6666,7085.25,222847705
Nasdaq,3/24/2020,7156.25,7634,7132.25,7484.5,186762087
Nasdaq,3/25/2020,7435.25,7761,7371.5,7462,242979235
Nasdaq,3/26/2020,7445.5,7893.5,7310.25,7856,196928629
Nasdaq,3/27/2020,7767.75,7806.75,7551.25,7561,155867209
Nasdaq,3/29/2020,7395.75,7507.25,7367.25,7489.25,1256384
Nasdaq,3/30/2020,7547,7885,7492,7871.25,165079683
Nasdaq,3/31/2020,7881.25,7995,7705,7720,152926788
