,Location,Date,WindSpeed,Precipitation,tMax,tMin
0,"NY CITY CENTRAL PARK, NY US",12/9/2019,4.47,1.57,55.0,42
1,"NY CITY CENTRAL PARK, NY US",12/10/2019,6.93,4pm,58.0,39
2,"NY CITY CENTRAL PARK, NY US",12/11/2019,6.26,0.26,40.0,31
3,"NY CITY CENTRAL PARK, NY US",12/12/2019,,0,36.0,26
4,"NY CITY CENTRAL PARK, NY US",12/13/2019,,,48.0,33
5,"NY CITY CENTRAL PARK, NY US",12/14/2019,6.04,?,,45
6,"NY CITY CENTRAL PARK, NY US",12/15/2019,9.62,0,49.0,37
7,"NY CITY CENTRAL PARK, NY US",,3.8,0,37.0,33
8,,,8.72,0.9,35.0,32
9,,,8.95,0.03,36.0,21
